Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Lighthaus,https://goo.gl/maps/2EvhB4oq4gyUXKXx9,11AM, 3:30PM,☕☕☕☕️,💪💪,🔌🔌🔌
Esters,https://goo.gl/maps/13Tjc36HuPWLELaSA,8AM,3PM,☕☕☕☕,💪💪💪,🔌
Ginger & White,https://goo.gl/maps/DqMx2g5LiAqv3pJQ9,7:30AM,5:30PM,☕☕☕,✘,🔌
Mare Street Market,https://goo.gl/maps/ALR8iBiNN6tVfuAA8,8AM,1PM,☕☕,💪💪💪,🔌🔌🔌
Senhor dos Cafés,https://www.google.com/maps/place/Senhor+dos+caf%C3%A9s/data=!4m7!3m6!1s0x7a45be9b129b0bb:0x98e6be2223a5a84!8m2!3d-6.773658!4d-38.2300797!16s%2Fg%2F11q93ff3zg!19sChIJu7ApselbpAcRhFo6IuJrjgk?authuser=0&hl=pt-BR&rclk=1,8AM,8PM,☕☕☕,💪💪💪,🔌
Cafe do Geraldo,https://www.google.com.br/maps/place/Caf%C3%A9+Do+Geraldo+Formiga/data=!4m7!3m6!1s0x7a45c074c2cba29:0xd59582f02c69a2f3!8m2!3d-6.7572464!4d-38.2330303!16s%2Fg%2F11fqbnvbww!19sChIJKbosTAdcpAcR86JpLPCCldU?authuser=0&hl=pt-BR&rclk=1,7AM,6PM,☕☕☕☕,💪💪,✘
Brickstop,https://www.google.com.br/maps/place/Mimo+Doce+Caf%C3%A9/data=!4m7!3m6!1s0x7acdd2f334c1089:0x448d146275f029f7!8m2!3d-7.1191955!4d-34.82391!16s%2Fg%2F11gfn1h41h!19sChIJiRBMMy_drAcR9ynwdWIUjUQ?authuser=0&hl=pt-BR&rclk=1,2PM,9PM,☕☕☕☕,💪💪💪💪,🔌🔌
